2167564446,MPA_Singapore,friends,144,1948,55,1924,Fri Nov 01 01:47:24 +0000 2013,https://t.co/OZ9fg1qZ75,,Singapore
533085085,MesutOzil1088,friends,81,18661453,15243,1252,Thu Mar 22 12:12:51 +0000 2012,https://t.co/pSlJJ3webU,,England
256317852,JustinThomas34,friends,381,201618,663,6041,Wed Feb 23 02:49:38 +0000 2011,https://t.co/LfNePAePH8,,Jupiter  FL
136298878,fina1908,friends,4326,56612,605,5703,Fri Apr 23 14:55:22 +0000 2010,http://t.co/lRAxRrwGR5,,Lausanne  Switzerland
20823928,HeathrowAirport,friends,2934,454398,4068,132019,Sat Feb 14 01:31:45 +0000 2009,http://t.co/hZCrGhPnZk,,London  England
77165249,MFAsg,friends,993,21465,218,4344,Fri Sep 25 08:11:44 +0000 2009,https://t.co/lKMriyQYvq,,Singapore
2810902381,PolizeiMuenchen,friends,130,396979,914,8245,Mon Sep 15 07:36:34 +0000 2014,http://t.co/qZriwyAUAa,,M?nchen
2397974054,polizeiberlin,friends,5,352007,972,4583,Wed Mar 19 14:35:26 +0000 2014,https://t.co/hG0wyWkYrr,,Berlin  Deutschland
164713706,prefpolice,friends,710,362926,1526,7610,Fri Jul 09 15:24:05 +0000 2010,https://t.co/d8NGQTmmXb,,France  Paris
66967746,metpoliceuk,friends,756,1066025,3752,17396,Wed Aug 19 10:41:21 +0000 2009,https://t.co/aqoUQSUnDp,,London
39941478,zbcom,friends,33,136066,980,31454,Thu May 14 06:18:48 +0000 2009,http://t.co/tiM9iI5doJ,,Singapore
471741741,PMOIndia,friends,416,21622173,7369,16920,Mon Jan 23 06:24:52 +0000 2012,http://t.co/8rx4lFTNxZ,,India 
15108702,ReutersLive,friends,55,361990,8368,49834,Fri Jun 13 16:12:45 +0000 2008,http://t.co/CyUUk0P9Za,,Global
3203731,shanghaiist,friends,1680,210847,1752,50057,Mon Apr 02 10:56:46 +0000 2007,https://t.co/CuIoHOokPj,,Shanghai  China
303862998,PDChina,friends,5336,4069140,5757,54741,Mon May 23 15:00:26 +0000 2011,https://t.co/rWsij70zc8,,Beijing  China
23922797,SCMP_News,friends,345,501720,4166,115549,Thu Mar 12 08:51:50 +0000 2009,http://t.co/vK4SiICgXA,,Hong Kong
579560024,hellohanis,friends,1220,3997,14,170645,Mon May 14 04:59:53 +0000 2012,https://t.co/5vECwZFJzw,,???? ?? ?? ? ??
257047404,FreshFounder,friends,221,4849,117,1481,Thu Feb 24 16:23:22 +0000 2011,https://t.co/LoTseqYQG5,,Boston  New York & Places
114155117,NandhiniRad,friends,303,428,3,9352,Sun Feb 14 09:56:20 +0000 2010,,,
2423467057,STjohnlui,friends,50,191,6,64,Wed Apr 02 08:32:17 +0000 2014,http://t.co/yIaCuDoDvh,,Singapore 
307781209,SMRT_Singapore,friends,3,428956,629,3957,Mon May 30 08:33:09 +0000 2011,http://t.co/cZwdOdtPNk,,Singapore
19568591,ananavarro,friends,738,628008,5142,19375,Tue Jan 27 00:34:59 +0000 2009,https://t.co/IaghNWqyKC,,Coral Gables  Fl
36712233,bessbell,friends,647,122588,1018,6286,Thu Apr 30 17:01:15 +0000 2009,https://t.co/FU0reyrk6B,,LA
16638310,VictoriaPolice,friends,319,210819,1432,37209,Tue Oct 07 22:31:14 +0000 2008,http://t.co/n7Cnw9mo6j,,Australia
3943480580,mruthster,friends,261,78,1,24,Mon Oct 19 05:03:08 +0000 2015,http://t.co/oCQfrff44b,,Singapore
2268576145,allsgstuff,friends,113,1065,50,49759,Mon Dec 30 08:47:49 +0000 2013,http://t.co/O1ABW7H18t,,
